tidal_strength,seed,N_core,N_lead,N_trail,A_tail,escaped_fraction
0.0005,0,259,21,20,0.024390243902439025,0.13666666666666666
0.0005,1,257,23,20,0.06976744186046512,0.14333333333333334
0.0005,2,263,15,22,-0.1891891891891892,0.12333333333333334
0.0005,3,252,29,19,0.20833333333333334,0.16
0.0005,4,254,21,25,-0.08695652173913043,0.15333333333333332
0.0005,5,256,23,21,0.045454545454545456,0.14666666666666667
0.0005,6,250,26,24,0.04,0.16666666666666666
0.0005,7,265,21,14,0.2,0.11666666666666667
0.0005,8,253,30,17,0.2765957446808511,0.15666666666666668
0.0005,9,254,29,17,0.2608695652173913,0.15333333333333332
0.001,0,258,20,22,-0.047619047619047616,0.14
0.001,1,252,14,34,-0.4166666666666667,0.16
0.001,2,254,24,22,0.043478260869565216,0.15333333333333332
0.001,3,256,19,25,-0.13636363636363635,0.14666666666666667
0.001,4,252,18,30,-0.25,0.16
0.001,5,260,23,17,0.15,0.13333333333333333
0.001,6,238,39,23,0.25806451612903225,0.20666666666666667
0.001,7,264,21,15,0.16666666666666666,0.12
0.001,8,252,30,18,0.25,0.16
0.001,9,255,32,13,0.4222222222222222,0.15
0.002,0,215,23,62,-0.4588235294117647,0.2833333333333333
0.002,1,235,15,50,-0.5384615384615384,0.21666666666666667
0.002,2,235,16,49,-0.5076923076923077,0.21666666666666667
0.002,3,248,31,21,0.19230769230769232,0.17333333333333334
0.002,4,83,21,196,-0.8064516129032258,0.7233333333333334
0.002,5,259,19,22,-0.07317073170731707,0.13666666666666666
0.002,6,149,137,14,0.8145695364238411,0.5033333333333333
0.002,7,247,40,13,0.5094339622641509,0.17666666666666667
0.002,8,146,142,12,0.8441558441558441,0.5133333333333333
0.002,9,85,197,18,0.8325581395348837,0.7166666666666667
0.004,0,34,247,19,0.8571428571428571,0.8866666666666667
0.004,1,158,125,17,0.7605633802816901,0.47333333333333333
0.004,2,8,13,279,-0.910958904109589,0.9733333333333334
0.004,3,247,18,35,-0.32075471698113206,0.17666666666666667
0.004,4,0,12,288,-0.92,1.0
0.004,5,6,13,281,-0.9115646258503401,0.98
0.004,6,2,286,12,0.9194630872483222,0.9933333333333333
0.004,7,24,266,10,0.927536231884058,0.92
0.004,8,4,280,16,0.8918918918918919,0.9866666666666667
0.004,9,254,17,29,-0.2608695652173913,0.15333333333333332
